,lat,long,YEAR,TOTPOP,GRPNAME,ADHERENT,CONGREG,RELTRAD,FAMILY
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,American Baptist Churches in the USA,201.0,2.0,2,96.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Catholic Church,789.0,4.0,3,87.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,The Episcopal Church,271.0,2.0,2,88.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Episcopal Church Groups Combined,271.0,2.0,2,88.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Evangelical Lutheran Church in America,360.0,2.0,2,90.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Evangelical Lutheran Church in America Groups Combined,360.0,2.0,2,90.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Free Methodist Church of North America,114.0,1.0,1,93.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,"Lutheran Church, The Missouri Synod",27.0,1.0,1,90.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Presbyterian Church (USA),219.0,2.0,2,91.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Seventh-day Adventists,24.0,1.0,1,98.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,"The United Methodist Church, old count",465.0,4.0,2,92.0
Alcona County,44.672794399999994,-83.60223979999999,1980,9740,Wisconsin Evangelical Lutheran Synod,180.0,1.0,1,90.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,American Baptist Churches in the USA,119.0,1.0,2,96.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Catholic Church,1175.0,4.0,3,87.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,"Church of God (Cleveland, TN)",50.0,1.0,1,94.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Conservative Congregational Christian Conference,30.0,1.0,1,91.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,The Episcopal Church,35.0,1.0,2,88.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Episcopal Church Groups Combined,35.0,1.0,2,88.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Evangelical Lutheran Church in America,225.0,2.0,2,90.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Evangelical Lutheran Church in America Groups Combined,225.0,2.0,2,90.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,"Lutheran Church, The Missouri Synod",36.0,1.0,1,90.0
Alcona County,44.672794399999994,-83.60223979999999,1990,10145,Presbyterian Church (USA),200.0,2.0,2,91.0
